price,title_length,word_count,category,views,add_to_cart,purchases,stock_quantity,competitor_price,month,optimal_price,conversion_rate,stock_percentage,price_ratio
27.5,45,7,toys,5685,541,75,162,20.062366325590176,7,24.660944018478173,0.013192612137203167,0.81,1.3707256439098556
10.99,58,10,toys,4310,399,83,57,10.201472831133113,8,10.564397186832863,0.01925754060324826,0.285,1.0772954240941013
159.99,102,19,toys,5683,437,13,193,203.21004947907048,6,165.05068281920035,0.0022875241949674467,0.965,0.7873134247550001
12.63,78,16,toys,1701,93,14,69,15.839235239711465,12,13.698553435881776,0.00823045267489712,0.345,0.7973869829481789
11.88,45,7,toys,2009,50,5,143,9.411040027659194,1,11.947128618823603,0.0024888003982080635,0.715,1.2623471970243985
74.99,57,12,toys,8446,777,31,161,67.948575159528,10,72.43138704433457,0.0036703765095903386,0.805,1.1036287342882511
26.99,79,14,toys,5785,278,57,112,33.12123882851602,12,27.31753092236467,0.009853068280034571,0.56,0.8148849787817333
34.27,36,5,home,2927,172,29,34,38.851916100226724,4,31.51442663105575,0.009907755380936112,0.17,0.8820671781436288
18.7,55,10,baby,7872,265,52,132,14.073539101578284,4,16.806698736388753,0.0066056910569105695,0.66,1.3287347173322508
14.95,200,37,toys,1051,87,22,153,15.105095665829502,12,16.677034021337985,0.02093244529019981,0.765,0.9897322288278944
6.91,133,20,sports,9331,482,10,175,8.07106690287139,7,6.687048865675696,0.0010716964955524595,0.875,0.856144557238359
5.99,63,9,toys,1902,51,10,121,6.17955754714205,11,6.072993574370845,0.005257623554153523,0.605,0.9693250615928454
36.37,78,13,home,9947,419,89,148,37.06877205653487,12,38.326733475166904,0.008947421333065246,0.74,0.9811493066058635
60.87,118,16,toys,2588,221,59,65,62.07905054506794,5,59.59638309560377,0.022797527047913446,0.325,0.9805240168067615
21.07,53,7,clothing,7947,82,9,171,23.89245832615136,1,21.83825472083722,0.0011325028312570782,0.855,0.8818682327443027
73.58,73,12,toys,8180,471,55,87,67.34711949953771,5,72.77972021918868,0.006723716381418093,0.435,1.092548583321445
8.44,61,10,toys,3648,184,37,133,6.657974882963477,4,8.695787521201863,0.010142543859649123,0.665,1.267652724493809
6.45,70,10,toys,7992,64,1,47,4.522562209866678,8,6.053259683363183,0.00012512512512512512,0.235,1.4261827036736643
3.12,56,7,toys,143,10,1,183,3.5230006296831307,11,2.937168821310563,0.006993006993006993,0.915,0.8856086977993592
6.94,62,9,toys,9164,602,105,126,5.423740627322952,4,6.835406015567284,0.011457878655608905,0.63,1.2795597129108003
15.45,57,11,Other,5781,354,76,198,17.0507024973899,11,15.82678936835155,0.013146514443867843,0.99,0.9061210235980052
16.01,31,5,toys,6492,31,5,112,13.6930031094641,6,15.118298180793452,0.0007701786814540973,0.56,1.1692102800250208
19.94,84,12,toys,2417,124,5,82,20.137427201301993,12,20.689534076048773,0.002068680182043856,0.41,0.9901960067029205
22.38,38,5,toys,7621,264,6,119,18.990701813462792,5,22.85426329314885,0.0007872982548222018,0.595,1.178471455127292
35.0,101,16,home,6731,239,1,185,37.52946820899109,2,34.153514180465436,0.0001485663348685188,0.925,0.9326004782453833
37.98,44,7,pets,8401,519,63,144,45.482321478048576,3,37.307701223513845,0.0074991072491370075,0.72,0.8350497240632391
9.93,35,5,toys,1525,113,7,25,12.492980016705955,12,10.071864023061247,0.0045901639344262295,0.125,0.7948463846673357
11.99,33,5,toys,9120,568,142,117,13.269364890003548,10,11.909342449073154,0.015570175438596491,0.585,0.9035850697747143
11.12,101,17,toys,7638,472,9,180,9.836259909024543,6,11.36996593519937,0.001178318931657502,0.9,1.1305109973555756
7.99,32,6,toys,2602,134,8,143,6.184570245249342,5,7.400649171609165,0.0030745580322828594,0.715,1.291924852197692
19.5,55,10,Other,8950,158,3,125,19.938506316811026,12,18.516411989430402,0.000335195530726257,0.625,0.9780070628238936
10.36,73,10,clothing,6936,114,20,116,8.244380475909008,12,9.147105555782426,0.0028835063437139563,0.58,1.2566135236326206
3.06,46,7,toys,7052,626,99,90,3.842084182855074,7,3.2924626834382678,0.014038570618264322,0.45,0.7964427259701783
6.99,180,28,toys,2778,161,28,130,7.138041126457519,1,7.058410706175166,0.010079193664506839,0.65,0.9792602586851459
6.11,39,7,toys,8780,426,113,192,5.2267870728781505,12,6.207928073155034,0.012870159453302962,0.96,1.1689781724043917
19.98,83,15,toys,3821,279,3,49,18.640107090754203,8,20.680606682951858,0.0007851347814708192,0.245,1.0718822538262351
7.99,77,12,Other,2853,98,28,37,8.574633030112466,2,7.998677521919001,0.00981423063441991,0.185,0.9318183031204547
24.99,46,9,toys,2579,44,4,72,21.7043017519433,8,24.24070004863212,0.0015509887553315238,0.36,1.1513846557059828
38.33,97,14,toys,6085,242,27,16,34.13383134938663,9,41.77006649661295,0.004437140509449466,0.08,1.1229328348072702
16.43,46,8,toys,7982,511,30,74,16.474136151882558,5,16.68585722900014,0.0037584565271861687,0.37,0.9973208821709589
24.53,62,10,clothing,1441,34,8,138,26.547935437608075,3,25.84397303127185,0.005551700208188758,0.69,0.9239889880570733
19.99,37,6,toys,581,10,2,40,17.637693822285943,8,19.983149315998297,0.0034423407917383822,0.2,1.1333681263216975
14.99,80,13,toys,3214,50,3,30,12.2035457787425,2,14.721804405576945,0.0009334163036714375,0.15,1.2283315252613922
11.42,65,11,toys,9159,530,116,56,13.125144359339895,9,11.83915194753619,0.012665138115514795,0.28,0.8700856681910314
17.75,50,7,toys,6304,268,41,143,13.35579158999666,12,18.38962611280973,0.006503807106598985,0.715,1.3290114539743607
14.73,32,5,clothing,8009,300,83,11,11.951335928214954,6,14.479425518912496,0.010363341241103758,0.055,1.232498198400157
28.74,39,8,toys,2064,12,2,78,24.82365950710665,8,27.395713940732332,0.0009689922480620155,0.39,1.1577664442171451
114.57,34,5,Other,9416,604,54,111,137.83089978001695,1,116.29750845721932,0.005734919286321156,0.555,0.8312359578502194
17.49,103,14,toys,1272,24,6,91,13.796157673489342,5,15.317410148480516,0.0047169811320754715,0.455,1.2677442817001674
12.29,54,9,toys,2205,84,11,24,12.8050439783657,6,12.215997421951036,0.004988662131519274,0.12,0.9597780390886689
9.27,41,8,toys,3563,155,36,167,10.59155916054729,7,10.052844579464601,0.010103845074375527,0.835,0.8752252486612176
22.99,63,7,toys,1545,124,32,80,18.66517955529873,7,19.952422177292444,0.020711974110032363,0.4,1.2317052687271643
14.41,36,6,toys,5665,240,59,39,12.726251892817563,12,13.673280701674347,0.010414827890556045,0.195,1.132305106119478
4.3,97,14,toys,4438,322,73,174,3.119842442025027,12,4.571858559100985,0.016448850833708877,0.87,1.3782747301844371
34.49,164,23,toys,8273,559,165,83,44.4805172242129,12,36.69646387154539,0.019944397437447116,0.415,0.7753956597704629
30.36,54,9,toys,9537,487,19,158,35.76955352499791,1,31.528084486594533,0.0019922407465660062,0.79,0.8487665348907028
11.0,68,11,home,5986,516,143,61,8.087518638381656,2,10.06965708472756,0.023889074507183427,0.305,1.3601205130825074
46.99,61,10,Other,4592,42,6,130,59.02412087259613,6,48.5791877132238,0.0013066202090592336,0.65,0.7961152035017711
14.98,24,4,toys,9822,398,71,162,14.856537611093696,1,15.624257834996927,0.007228670331907962,0.81,1.008310307026996
12.99,48,8,toys,7692,682,183,67,9.35716212265817,2,12.679525092857148,0.02379095163806552,0.335,1.3882414165449788
18.93,38,5,sports,7046,305,4,27,21.630830070614206,7,19.74734007197312,0.0005676979846721544,0.135,0.8751397860462451
29.99,94,15,toys,3784,254,20,131,30.022121218286028,11,31.990749938267772,0.005285412262156448,0.655,0.9989300816537086
6.99,34,5,toys,7279,31,3,116,4.947401386768458,10,5.6489223565565805,0.0004121445253468883,0.58,1.4128629261200345
14.01,10,1,toys,5291,197,9,19,11.723099615936537,1,13.927128754629702,0.001701001701001701,0.095,1.1950764267971092
12.99,84,13,toys,7589,597,84,199,12.54639740329251,2,12.481398303984658,0.01106865199631045,0.995,1.0353569700088632
10.99,56,8,toys,9065,751,91,71,12.821367407094154,12,11.794869384451887,0.010038610038610039,0.355,0.8571628634492725
186.06,31,7,toys,6406,546,30,33,149.2430445024113,7,175.35816320391618,0.004683109584764283,0.165,1.246691265380839
129.95,70,11,toys,7071,378,60,100,104.4863530236863,3,128.2447063454642,0.00848536274925753,0.5,1.243703088866938
10.49,37,6,sports,4330,176,45,140,8.945540062657406,12,9.91947097376591,0.010392609699769052,0.7,1.1726513912547154
39.9,40,6,Other,6240,511,134,54,36.96979558525817,12,40.61962353124908,0.021474358974358974,0.27,1.0792594161897464
23.74,91,14,toys,2571,117,18,52,24.259585923053976,1,26.516838131791875,0.007001166861143524,0.26,0.9785822427183222
5.58,46,9,toys,5251,423,65,116,4.655767434891672,10,5.335136881752184,0.012378594553418396,0.58,1.1985134734569989
12.99,148,27,toys,232,14,1,125,13.645468517271576,1,13.40373406612236,0.004310344827586207,0.625,0.9519643816962441
25.96,80,13,toys,3831,37,7,150,19.410218819341214,9,25.754594456361154,0.0018271991647089533,0.75,1.33743984246753
15.39,55,9,Other,1800,23,3,14,17.641446719538433,6,15.510089087996082,0.0016666666666666668,0.07,0.8723774327960934
8.53,39,6,toys,3379,36,9,176,9.535681094219106,1,9.22768412495643,0.0026635099141757916,0.88,0.8945349488639266
17.57,34,7,toys,800,55,2,85,22.67743027157432,7,19.173587188296555,0.0025,0.425,0.7747791433857312
3.64,83,12,toys,942,11,2,16,4.556894375562742,10,3.62896144925886,0.0021231422505307855,0.08,0.7987896360995833
38.55,81,12,toys,7274,336,2,174,30.665993556818044,9,32.51029348032234,0.00027495188342040145,0.87,1.2570928096157863
6.47,44,7,toys,1126,61,9,29,6.738536965424539,7,5.872055125730973,0.007992895204262877,0.145,0.9601490699238716
24.99,178,32,toys,4965,101,27,183,23.67719317118792,8,25.07664337905722,0.005438066465256798,0.915,1.0554460496782867
9.97,41,6,other,962,48,9,41,9.135194816074138,5,9.136735912432592,0.009355509355509356,0.205,1.0913834024050535
19.99,64,10,toys,5508,27,5,84,17.528893103149226,10,20.193453796402146,0.0009077705156136529,0.42,1.1404028698428545
9.22,60,10,toys,1285,96,14,100,11.73350809085042,4,10.028061042555864,0.010894941634241245,0.5,0.7857837509985264
34.99,68,10,clothing,307,17,4,138,38.19680947231852,10,37.96868486969997,0.013029315960912053,0.69,0.9160450960009496
107.86,145,23,toys,3069,92,10,57,103.40158638074757,12,108.13560871551535,0.0032583903551645487,0.285,1.0431174585932903
22.0,99,18,toys,2569,12,1,34,26.21778644233066,2,23.552495154228474,0.00038925652004671076,0.17,0.8391249981531349
15.99,29,4,toys,2614,190,38,98,17.33309264606873,11,15.942128328192515,0.014537107880642693,0.49,0.922512809831813
19.99,55,10,Other,9915,846,47,194,16.29972789173168,6,19.05633439556264,0.004740292486132123,0.97,1.2264008413379877
30.82,58,9,toys,1347,31,3,91,36.09918863086279,12,31.527439889301842,0.0022271714922048997,0.455,0.8537588009291328
19.99,58,8,home,4286,394,51,187,17.26425442917336,2,19.28508795419174,0.01189920671955203,0.935,1.1578837697283144
13.71,36,7,toys,8524,41,10,85,14.201015295974312,11,13.710561168156255,0.0011731581417175035,0.425,0.9654239302091658
22.28,43,6,Other,3664,290,12,26,28.28801566073649,9,23.95249260014362,0.0032751091703056767,0.13,0.7876126861356499
12.5,44,7,toys,9482,256,34,90,12.409339543022984,11,11.218553022232637,0.003585741404766927,0.45,1.0073058245092494
105.81,57,8,toys,1024,71,20,16,120.995684560517,9,105.86098401646552,0.01953125,0.08,0.874493998561397
74.96,26,6,sports,1033,73,9,70,75.70056690659295,1,71.63482153607876,0.008712487899322363,0.35,0.9902171550774944
17.4,85,11,sports,6155,547,38,72,18.546120280969866,2,16.958595393965926,0.006173842404549147,0.36,0.9382016150220972
25.95,69,11,toys,2708,243,28,18,22.16225651807674,5,23.707669340366422,0.0103397341211226,0.09,1.1709096489716093
99.99,61,9,home,2237,152,7,102,70.05974734153074,5,89.22354949631033,0.0031291908806437194,0.51,1.4272103996116883
36.91,38,6,toys,4625,257,38,111,32.2371762967101,1,33.47835382755824,0.008216216216216217,0.555,1.1449513958754125
11.24,84,11,electronics,9325,54,6,120,9.90107516676428,10,11.022196483298485,0.00064343163538874,0.6,1.135230246279737
11.12,64,7,toys,1039,81,19,192,8.952784723283905,6,10.147608260564388,0.01828681424446583,0.96,1.242071639573743
18.59,39,5,toys,1872,121,21,12,16.147580345593635,10,17.29184976895129,0.011217948717948718,0.06,1.151256076894075
15.98,63,12,toys,5225,399,22,90,15.308442663803092,11,16.233364649448895,0.004210526315789474,0.45,1.0438684293984266
18.99,83,13,toys,6868,504,16,55,19.170301524120944,8,18.855730775896816,0.0023296447291788003,0.275,0.9905947476155197
8.99,54,8,toys,6644,244,20,185,7.1061410948433865,8,8.701543437652333,0.0030102347983142685,0.925,1.265102941246642
6.74,71,9,toys,9755,308,39,31,8.512698364008276,4,7.259808037714404,0.003997949769349052,0.155,0.7917583487389555
51.39,35,6,toys,6962,391,97,129,52.881426825257314,8,53.33718670956288,0.013932777937374317,0.645,0.9717967741266584
10.94,65,10,toys,2262,60,6,43,12.545051715117163,5,11.374902425716211,0.002652519893899204,0.215,0.8720569869645872
43.48,50,10,toys,5277,455,78,25,52.77988364740392,8,47.659367391755964,0.014781125639567936,0.125,0.8237987088123989
19.99,90,14,toys,9510,96,3,64,14.383074058180465,11,17.963927823041267,0.0003154574132492114,0.32,1.3898280659015698
39.47,30,6,toys,4210,372,74,154,46.56750259568954,11,40.02437730482153,0.017577197149643706,0.77,0.8475867890680805
12.99,90,11,toys,5025,64,1,172,12.757241400116637,2,12.75979015704561,0.0001990049751243781,0.86,1.0182452140382978
5.99,81,12,other,4599,81,10,168,6.246134283263364,7,5.837127956743275,0.0021743857360295715,0.84,0.9589931513400727
16.82,25,4,toys,3339,141,4,159,19.739952721272488,12,16.59740789437231,0.0011979634621144056,0.795,0.8520790418040951
25.99,47,7,toys,2380,218,31,115,23.924663663521375,1,24.477881111249612,0.013025210084033614,0.575,1.086326661286683
19.0,36,6,other,6304,367,14,21,15.930620177848162,6,20.0599942695235,0.002220812182741117,0.105,1.1926717094429173
9.6,33,6,toys,1980,17,3,29,10.11687627612895,10,9.510485398313664,0.0015151515151515152,0.145,0.9489094991357624
4.99,64,9,toys,6644,53,3,43,4.292599009231883,4,4.967716367513198,0.0004515352197471403,0.215,1.162465906847635
12.89,37,5,toys,6543,604,10,80,15.654411537463375,8,13.160332553163894,0.0015283509093687911,0.4,0.8234100636202313
4.35,54,11,toys,1861,32,7,171,3.827861127509965,4,3.8878625872575743,0.0037614185921547557,0.855,1.1364048629501058
16.72,53,6,baby,3619,98,27,166,19.586954738207623,3,20.47181791371734,0.007460624481901078,0.83,0.8536293785059322
16.22,97,15,toys,6803,493,3,112,12.04634119591552,12,15.48290189595982,0.0004409819197412906,0.56,1.3464669260322475
28.82,55,9,toys,4640,462,26,190,33.19660765361271,10,28.519882061282694,0.005603448275862069,0.95,0.868160997072952
17.98,82,10,toys,8997,807,200,173,12.689982310464817,11,16.532260449893144,0.022229632099588753,0.865,1.416865647257267
9.99,35,7,toys,637,28,4,108,7.070786536393155,2,9.822041212839958,0.006279434850863423,0.54,1.412855549885678
20.76,103,12,Other,9366,721,9,165,17.55524730525037,4,21.475964090671223,0.0009609224855861628,0.825,1.1825524094890514
6.99,34,6,other,7168,698,7,40,6.472814757921276,5,6.965177956960908,0.0009765625,0.2,1.0799011344246807
10.4,58,9,toys,7435,221,19,10,9.970566569921953,2,11.026173229644153,0.002555480833893746,0.05,1.043070113124114
16.95,73,13,toys,199,17,3,69,13.160478873848874,1,14.999857041077629,0.01507537688442211,0.345,1.2879470543949023
22.5,39,5,clothing,3413,292,24,25,20.97001154272162,10,24.282939168702313,0.007031936712569587,0.125,1.0729607827902898
42.99,35,6,toys,8740,553,119,36,54.79182433635136,11,44.99331859772446,0.013615560640732265,0.18,0.7846061072195127
14.99,56,10,toys,3984,148,4,120,17.62748550040124,10,14.990594613034837,0.001004016064257028,0.6,0.8503765326971221
6.96,41,6,tools,6355,142,29,106,5.591544330812533,5,6.092932402713796,0.0045633359559402046,0.53,1.2447366216246398
7.9,88,12,toys,3668,342,10,148,6.542395002057827,1,7.28812593423176,0.0027262813522355507,0.74,1.2075088706070416
7.99,41,6,toys,9440,308,25,106,7.156074276444193,5,7.891567821294912,0.0026483050847457626,0.53,1.116533966996522
5.7,33,4,toys,2813,64,13,199,7.175143215680204,4,6.05025744317879,0.004621400639886242,0.995,0.7944092304030255
9.95,4,1,toys,6359,535,75,28,7.226348487369811,2,9.123863165136376,0.011794307281019028,0.14,1.376905641540894
12.47,67,9,toys,8233,668,194,110,14.064463178044313,1,12.9157063319355,0.023563707032673388,0.55,0.8866317784148783
8.29,35,4,toys,7685,20,1,35,9.022287594392111,9,8.246828248707155,0.00013012361743656474,0.175,0.9188357069389728
3.99,38,6,toys,7134,127,22,53,3.0389056795234373,8,3.73397266003594,0.0030838239416876925,0.265,1.3129726358028044
14.77,40,5,toys,8546,127,29,83,14.698686026614622,6,13.815237811515924,0.0033934004212497074,0.415,1.004851724382455
13.87,52,8,toys,2517,162,21,85,12.51330828159714,6,13.109164911439882,0.00834326579261025,0.425,1.1084199068601304
12.86,90,14,toys,9990,383,25,56,13.53006596603821,1,13.99971470915765,0.0025025025025025025,0.28,0.9504757798136283
14.99,44,7,clothing,6645,133,13,66,13.364917828798653,2,14.299760888373525,0.0019563581640331075,0.33,1.1215931285188772
19.95,95,15,toys,2481,57,13,73,14.970574105422747,4,18.486822282444987,0.005239822652156389,0.365,1.3326142243785808
15.99,65,8,toys,5785,531,138,134,18.315230940711455,10,17.23360708612034,0.023854796888504753,0.67,0.8730438645169969
75.01,99,16,toys,9251,742,220,43,59.778366322642505,1,73.48463379810414,0.023781212841854936,0.215,1.2548017721854026
23.74,68,11,clothing,6104,437,94,149,23.57973063193162,11,23.844606934347542,0.015399737876802096,0.745,1.006796912592858
8.99,68,12,toys,1479,28,6,125,8.693968582847157,4,8.586519902210325,0.004056795131845842,0.625,1.0340502055340872
14.95,99,14,clothing,4098,370,58,66,14.025294787580473,8,14.974032727229615,0.014153245485602733,0.33,1.065931249676004
67.95,193,38,sports,9764,839,134,176,60.83801252377431,7,69.54995986265209,0.013723883654240066,0.88,1.1169003914032607
12.99,92,15,toys,6057,47,10,188,12.345679496069915,5,13.88066803355889,0.001650982334489021,0.94,1.0521899587734476
33.67,56,9,clothing,8732,307,6,154,33.58940108294466,11,34.32637550516849,0.0006871278057718735,0.77,1.0023995342118877
13.99,104,15,toys,7190,350,94,166,13.224207118909355,3,13.58449685995091,0.013073713490959666,0.83,1.0579084155446745
17.4,48,6,toys,393,10,1,65,13.25322336992608,9,16.749235433857077,0.002544529262086514,0.325,1.3128881566641133
11.16,53,9,Other,3170,66,18,30,12.016537930492277,11,12.11731304202326,0.0056782334384858045,0.15,0.9287200743303285
9.99,31,5,toys,3995,199,39,159,10.601055750237085,4,9.98912007998116,0.009762202753441803,0.795,0.9423589721029983
39.99,17,3,toys,6844,69,8,66,38.407399445016196,11,39.121579061280194,0.0011689070718877848,0.33,1.0412056160493097
6.63,31,4,toys,4418,273,4,145,5.059516412511002,9,6.356387802031848,0.0009053870529651426,0.725,1.3104019158047515
22.24,104,22,toys,1570,151,41,140,24.086799391826023,1,22.509000200193462,0.026114649681528664,0.7,0.9233273229131163
12.97,68,11,baby,8267,597,29,199,16.206447730936546,12,13.661524441836516,0.0035079230676182413,0.995,0.800298758576287
9.95,68,11,Other,5473,231,4,61,9.159803937707094,1,10.061011682638524,0.0007308605883427736,0.305,1.0862677921565544
9.84,154,24,toys,5252,136,23,40,8.404560384290022,7,9.60525192619817,0.004379284082254379,0.2,1.1707929445534273
51.12,81,11,clothing,7751,331,74,147,43.99538629219056,7,49.43986027151565,0.0095471552057799,0.735,1.1619400193577594
6.58,76,13,toys,5500,236,10,159,6.683588506922454,12,6.649952778118106,0.0018181818181818182,0.795,0.984501064538135
9.51,82,12,other,6563,70,2,39,8.467520080654996,1,9.362195044703368,0.00030473868657626083,0.195,1.1231151399010753
102.53,85,13,toys,4036,291,7,93,127.13827273830421,11,109.94598308313468,0.001734390485629336,0.465,0.8064448084098422
21.99,57,9,toys,998,18,2,60,22.999070736600654,7,21.216472415991852,0.002004008016032064,0.3,0.9561255866309928
19.92,42,7,clothing,979,42,4,172,18.371468553980414,11,19.561863226400185,0.0040858018386108275,0.86,1.0842900196829435
2.88,57,11,toys,3402,176,31,28,2.29785447841194,8,2.534582120807325,0.009112286890064668,0.14,1.253343075924627
5.43,41,7,Other,3606,62,10,155,6.059086704550773,6,5.845152630814155,0.0027731558513588465,0.775,0.8961746653867343
3.33,44,6,Other,3193,272,25,22,3.5065829253286753,1,3.280246796567019,0.007829627309740057,0.11,0.9496424499038123
4.99,68,10,toys,3561,104,29,98,3.8241081143694045,11,4.745446080307833,0.008143779837124403,0.49,1.3048794256756653
16.03,37,5,clothing,9659,284,8,60,11.325008460172628,1,14.016460271593635,0.0008282430893467233,0.3,1.4154514812393928
99.99,81,12,toys,7348,216,19,146,123.24053565773825,7,108.48799216122961,0.0025857376156777356,0.73,0.8113401931138202
52.19,35,5,toys,6341,187,37,174,48.58095238492558,12,49.370270625358536,0.005835041791515534,0.87,1.0742893549405648
3.9,71,13,Other,146,12,1,88,4.202988474799628,9,3.6722924522650717,0.00684931506849315,0.44,0.9279111811473448
8.52,37,7,toys,984,60,13,83,9.974536956751054,7,8.940315367919,0.013211382113821139,0.415,0.854174989469904
7.73,47,7,Other,9742,410,12,141,5.488125163706851,1,6.585318702511238,0.0012317799219872716,0.705,1.408495573519121
8.29,49,8,toys,3554,101,7,173,9.760003134253038,9,8.70665758100906,0.0019696117051209903,0.865,0.8493849731365335
23.95,45,5,tools,791,64,18,68,21.62368901305979,1,23.41131398793825,0.022756005056890013,0.34,1.1075815965321745
6.99,34,6,Other,5413,339,41,116,5.027137114805157,6,6.995617356374652,0.007574358026972104,0.58,1.3904534211756665
23.4,106,18,toys,1853,129,20,171,20.939322738207846,6,21.876864512737544,0.010793308148947653,0.855,1.1175146537715936
12.88,65,9,clothing,6108,510,36,199,13.46892490512116,12,11.513544080930423,0.005893909626719057,0.995,0.9562752848301027
19.86,97,16,toys,8117,542,147,146,21.195987345730366,7,17.52538951867688,0.01811013921399532,0.73,0.9369697988615057
4.99,36,7,Other,8105,630,184,12,5.345752472164033,7,5.325539882312045,0.02270203578038248,0.06,0.9334513758322185
17.75,54,7,toys,9236,167,28,105,14.392258423949498,6,16.251527009893955,0.0030316154179298397,0.525,1.2333019236552227
37.77,66,10,clothing,1003,20,4,146,33.45336437435952,11,36.696638009850155,0.003988035892323031,0.73,1.1290344246795394
9.96,35,6,toys,7269,178,32,49,10.594181387381857,8,10.240674128101498,0.004402256156280093,0.245,0.9401387078252978
10.18,29,5,toys,984,52,13,14,8.377680094824866,7,10.20726194219476,0.013211382113821139,0.07,1.2151335315714047
20.95,56,8,toys,3054,268,73,158,19.847985738948395,5,19.755166942664268,0.02390307793058284,0.79,1.0555227253559076
18.74,70,11,toys,5391,453,114,65,14.950472017405316,2,17.568383232061144,0.021146355036171398,0.325,1.2534721297215847
10.99,170,30,toys,5094,156,24,166,13.552041320470508,5,12.274314826713645,0.004711425206124852,0.83,0.8109479406175868
14.99,49,9,toys,7751,338,88,74,17.244705277980838,2,16.527169330487293,0.011353373758224745,0.37,0.8692523159059267
29.99,39,6,clothing,5685,267,5,152,32.960366245059944,12,31.2369752026077,0.0008795074758135445,0.76,0.909880666283399
14.99,113,19,toys,1625,21,1,43,10.873058330479775,12,15.150135398314807,0.0006153846153846154,0.215,1.3786369523999935
8.92,187,38,toys,6789,397,51,100,6.600178673038758,9,9.564730308346846,0.007512152010605391,0.5,1.3514785647300036
6.69,58,7,office,7720,653,73,89,6.9046966296319106,8,6.731703041646851,0.009455958549222798,0.445,0.968905711409459
14.99,94,15,toys,7921,644,114,95,13.582806725012206,3,13.63593462442465,0.014392122206792072,0.475,1.103601067399163
10.33,82,12,toys,6471,74,4,102,12.088436793888619,6,11.44268561814626,0.0006181424818420646,0.51,0.85453563402196
14.49,78,11,toys,9899,421,4,108,15.747337611025566,12,14.53753558788567,0.0004040812203252854,0.54,0.9201555436174026
15.51,74,12,Other,9948,617,127,172,11.688089717203784,5,14.369842694790039,0.012766385203055891,0.86,1.326991867385371
14.2,28,4,toys,5109,146,36,149,15.45775545604723,1,15.401662798727767,0.007046388725778039,0.745,0.9186327239020213
9.75,44,6,Other,1498,129,15,131,8.783315792726569,2,9.297119140252057,0.010013351134846462,0.655,1.1100591428209765
12.99,50,8,toys,631,20,3,105,12.822282952075074,2,12.588015005893375,0.004754358161648178,0.525,1.0130801237620313
9.02,34,6,toys,6700,390,79,165,11.633972825132776,6,10.656306815974737,0.011791044776119404,0.825,0.7753155465959287
39.99,79,14,toys,6789,443,65,150,44.653378744201305,1,42.79069602952045,0.009574311386065695,0.75,0.8955649297914127
12.5,111,17,toys,9422,700,164,91,15.720635403457345,1,12.80725638471253,0.017406070897898536,0.455,0.7951332550623844
12.64,87,14,toys,4273,368,13,41,12.419952826739529,2,11.70201696969555,0.0030423589983618066,0.205,1.0177172310016123
